id,doc,line_no,description_text,issue_type,classification,classification_ref,notes
ISS-0011,working/phase1/summaries/docs/LIFECYCLE.summary.md,42,Error handling for TOML parsing or MCP initialization is only implied—no explicit remediation guidance.,Gaps,CONFLICT,Code Standards & Architecture,"docs/LIFECYCLE.md lacks explicit remediation steps for TOML parsing or MCP initialization failures; migration plan keeps LIFECYCLE as a canonical doc, so concrete error-handling guidance must be added and aligned with settings and factory code in later phases."
ISS-0012,working/phase1/summaries/docs/LIFECYCLE.summary.md,43,"Cache implementation details live elsewhere (`app/core/settings.py`), so readers may miss nuance without cross-reference.",Gaps,CONFLICT,Code Standards & Architecture,"Cache behavior is described in docs/LIFECYCLE.md but implemented in app/core/settings.py, creating a documentation/code gap; Phase 3 architecture work must either add cross-references or move cache details into the canonical architecture/lifecycle docs."
ISS-0013,working/phase1/summaries/docs/TEST.summary.md,42,Scope overlap with `docs/TESTING_ARCHITECTURE.md`—distinguish “how” vs “why” or merge carefully.,Duplicates,CONFLICT,Testing & E2E,"docs/TEST.md and docs/TESTING_ARCHITECTURE.md currently overlap on test tiers and structure; migration plan explicitly merges both into docs/testing-guide.md, so this duplication must be resolved during the Testing & E2E phase."
ISS-0014,working/phase1/summaries/docs/TEST.summary.md,43,"Fixture instructions duplicate details already encoded in code (`tests/conftest.py`), risking drift.",Duplicates,CONFLICT,Testing & E2E,"Fixture instructions in docs/TEST.md repeat behavior encoded in tests/conftest.py, risking divergence; testing-guide consolidation needs to reduce fixture prose to high-level patterns and defer specifics to code."
ISS-0015,working/phase1/summaries/docs/TEST.summary.md,44,Component test guidance stops short of true E2E once real MCP subprocess support ships.,Gaps,CONFLICT,Testing & E2E,"Current component test guidance stops before true end-to-end flows with real MCP subprocesses; ADR-0006 and the migration plan call for E2E/Testcontainers, so testing-guide must be expanded once subprocess support ships."
ISS-0016,working/phase1/summaries/docs/TEST.summary.md,45,Potential conflicts with `docs/to_integrate/TEST_*.md` series that may contain divergent advice.,Conflicts,CONFLICT,Testing & E2E,"docs/TEST.md may conflict with the legacy docs/to_integrate/TEST_*.md series; migration plan routes all TEST_* into docs/testing-guide.md, where divergent advice must be reconciled into a single canonical testing strategy."
ISS-0017,working/phase1/summaries/docs/TESTING_ARCHITECTURE.summary.md,39,Reiterates information already present in `docs/TEST.md`; ensure boundaries between rationale vs execution remain clear.,Duplicates,CONFLICT,Testing & E2E,"docs/TESTING_ARCHITECTURE.md reiterates guidance already present in docs/TEST.md; when both are merged into docs/testing-guide.md, content has to be refactored to separate rationale from execution details without repeating the same rules."
ISS-0018,working/phase1/summaries/docs/TESTING_ARCHITECTURE.summary.md,40,Historical note about `app/tests/` could confuse newcomers who never saw that layout; consider moving to a “history” appendix.,Staleness,CONFLICT,Testing & E2E,The historical note about prior app/tests/ placement in docs/TESTING_ARCHITECTURE.md is legacy-only and can confuse new contributors; during testing-guide consolidation this history should be demoted to an appendix or trimmed to avoid staleness.
ISS-0019,working/phase1/summaries/docs/TESTING_ARCHITECTURE.summary.md,41,"Lacks guidance on exceptional cases (e.g., when an `__init__.py` might still be necessary for namespace packages).",Gaps,CONFLICT,Testing & E2E,docs/TESTING_ARCHITECTURE.md does not cover edge cases such as when __init__.py is still needed for namespace packages; testing-guide work needs to add brief guidance on these exceptional situations to prevent confusion with pytest discovery.
ISS-0020,working/phase1/summaries/docs/to_integrate/api-patterns-guide.summary.md,77,"Major overlap with STYLE_6 on layered architecture, DI, and error handling; maintaining both separately risks drift.",Duplicates,CONFLICT,Code Standards & Architecture,"The to_integrate api-patterns-guide overlaps heavily with STYLE_6 on layered architecture, DI, and error handling; migration_plan maps both into docs/api.md and docs/code-style-guide.md, where overlapping sections must be merged into a single, drift-resistant narrative."
ISS-0021,working/phase1/summaries/docs/to_integrate/api-patterns-guide.summary.md,78,"Significant conceptual overlap with `fastapi-best-practices.md`, especially around clean architecture and SOLID ideas.",Duplicates,CONFLICT,Code Standards & Architecture,"fastapi-best-practices content and api-patterns-guide both target the same canonical docs (docs/api.md, docs/code-style-guide.md) per Migration §2; overlap in clean architecture/SOLID guidance must be reconciled by the Code Standards & Architecture phase to avoid duplicate or conflicting advice."
ISS-0022,working/phase1/summaries/docs/to_integrate/api-patterns-guide.summary.md,79,"Assumes SQLAlchemy, DB sessions, and repository abstractions that the current project does not yet use.",Gaps,CONFLICT,Code Standards & Architecture,api-patterns-guide assumes SQLAlchemy sessions and repository abstractions that the current service does not implement; this creates a conceptual gap between guidance and code that must be resolved when consolidating into docs/api.md and architecture decisions in later phases.
ISS-0023,working/phase1/summaries/docs/to_integrate/api-patterns-guide.summary.md,80,Describes routers/services/repositories and complex DI chains while current endpoints still use hardcoded data and minimal services.,Conflicts,CONFLICT,Code Standards & Architecture,The guide’s routers/services/repositories layering and complex DI chains conflict with the current minimal endpoint implementation; Phase 3 architecture and API docs need to choose and document a single authoritative structure for these patterns.
ISS-0024,working/phase1/summaries/docs/to_integrate/api-patterns-guide.summary.md,81,Frontend/TanStack Query alignment is assumed but not yet part of this repo’s actual scope.,Staleness,CONFLICT,"Workflow, Releases, CI",Assumptions about a frontend/TanStack Query integration are out of scope for the current backend-only repo; this forward-looking guidance must either be explicitly scoped or trimmed when merging into docs/api.md and higher-level workflow docs so it does not mislead contributors.
ISS-0025,working/phase1/summaries/docs/to_integrate/api-patterns-guide.summary.md,82,"Domain examples (`Project`, `User`) do not match the MCP metadata domain, making direct copy-paste misleading.",Naming,CONFLICT,Code Standards & Architecture,Domain examples using Project/User clash with the actual MCP metadata domain; when migrating api-patterns-guide into docs/api.md the examples must be renamed and aligned to the metadata concepts to avoid confusing or misleading copy-paste usage.
ISS-0026,working/phase1/summaries/docs/to_integrate/api-patterns-guide.summary.md,83,"No concrete custom exception hierarchy (`DomainError`, `NotFoundError`, etc.) exists in the codebase yet.",Gaps,CONFLICT,Migration §3. Migration Matrix (Non-Documentation Files),"The guide assumes a custom exception hierarchy (DomainError, NotFoundError etc.) that does not yet exist; the migration plan explicitly calls for introducing app/core/errors.py with centralized error types, so this gap must be resolved during the Code Standards & Architecture phase."
ISS-0027,working/phase1/summaries/docs/to_integrate/api-patterns-guide.summary.md,84,"Pagination patterns (`Paginated[T]`, `page`/`pageSize`) are not implemented in current routes (e.g., `/fetch` just returns a list).",Gaps,CONFLICT,Code Standards & Architecture,Pagination types and query parameters described in api-patterns-guide are not implemented in current routes; future API and architecture work needs to either implement these patterns or adjust the guidance in docs/api.md to match the actual fetch contract.
ISS-0028,working/phase1/summaries/docs/to_integrate/api-patterns-guide.summary.md,85,"Testing recommendations (TestClient, dependency overrides) need to be aligned with existing pytest fixtures and docs.",Testing,CONFLICT,Testing & E2E,"Testing advice in api-patterns-guide (TestClient usage, dependency overrides) must be reconciled with the centralized testing strategy in docs/testing-guide.md and existing pytest fixtures; Phase 4 Testing & E2E owns aligning these patterns and removing contradictions."
ISS-0029,working/phase1/summaries/docs/to_integrate/api-patterns-guide.summary.md,86,"Versioning guidance partially duplicates what is already done (`/api/v1` metadata router), so future edits must avoid contradictions.",Versioning,CONFLICT,"Workflow, Releases, CI",Versioning guidance in api-patterns-guide overlaps with actual router versioning (/api/v1) and upcoming docs/releases-and-versioning.md; future edits must ensure a single authoritative story on versioning to prevent duplicated or divergent rules.
ISS-0030,working/phase1/summaries/docs/to_integrate/architecture-overview.summary.md,38,Empty placeholder blocks having a single authoritative architecture overview.,Gaps,CONFLICT,Code Standards & Architecture,"architecture-overview and related placeholders need to be merged into a single canonical docs/architecture.md per the migration matrix; until that consolidation happens, empty or partially duplicated blocks represent a gap in having one authoritative architecture overview."
ISS-0031,working/phase1/summaries/docs/to_integrate/architecture-overview.summary.md,39,Unclear whether this should be a concise high-level overview or a detailed deep-dive.,Gaps,CONFLICT,Code Standards & Architecture,"Architecture-overview is slated to merge into docs/architecture.md per migration plan, but the plan does not yet specify whether that target should be a high-level overview or a deep-dive, so Phase 3 needs to define the appropriate depth and scope to avoid future confusion."
ISS-0032,working/phase1/summaries/docs/to_integrate/architecture-overview.summary.md,40,Scope overlaps with other architecture/patterns docs and may cause duplication once filled.,Duplicates,CONFLICT,Code Standards & Architecture,"The migration plan calls for merging architecture-overview into docs/architecture.md alongside content from LIFECYCLE and other sources, but it does not fully detail how to de-duplicate overlapping architecture and patterns content, so Phase 3 must resolve scope overlap to prevent duplicate or divergent guidance."
ISS-0033,working/phase1/summaries/docs/to_integrate/architecture-overview.summary.md,41,No indication of how this document should relate to STYLE_6’s layered architecture guidance.,Conflicts,CONFLICT,Code Standards & Architecture,"STYLE_6 and architecture-overview are both feeding into docs/architecture.md per the migration matrix, yet there is no explicit guidance on how STYLE_6’s layered architecture rules should relate to or constrain the overview narrative; Phase 3 needs to reconcile and align these sources to avoid conflicting architectural guidance."
ISS-0034,working/phase1/summaries/docs/to_integrate/architecture-overview.summary.md,42,Team may reference this file expecting guidance but find only filler content.,Staleness,CONFLICT,Code Standards & Architecture,"Architecture-overview is being migrated into docs/architecture.md but currently contains placeholder/filler content; Phase 3 must replace this with substantive, accurate architecture material so the new canonical doc does not mislead readers expecting real guidance."
ISS-0035,working/phase1/summaries/docs/to_integrate/changesets-guide.summary.md,53,"Changesets tooling (`uv run changeset`, `uv run version-packages`, `uv run release`) may not yet be implemented in `pyproject.toml` `[tool.uv.scripts]` or `tools/`.",Versioning,RESEARCH,Versioning & Releases,"Changesets-based workflows (uv run changeset/version-packages/release) are referenced in the planned docs/releases-and-versioning.md but are not yet fully designed or wired into pyproject.toml and tools/, so further research into recommended changesets tooling and uv integration is needed before implementation."
ISS-0036,working/phase1/summaries/docs/to_integrate/changesets-guide.summary.md,54,"The `.changeset/` directory may be missing, despite the guide assuming it exists and is used in all feature and bugfix PRs.",Gaps,CONFLICT,"Workflow, Releases, CI","The migration plan maps changesets-guide into docs/releases-and-versioning.md but does not confirm presence or usage of a .changeset/ directory; Phase 5 must decide whether to adopt changesets, provision the directory, and update workflow-and-ci to match, resolving the gap between documented expectations and the current repo layout."
ISS-0037,working/phase1/summaries/docs/to_integrate/changesets-guide.summary.md,55,"Overlap with `docs/to_integrate/git-workflow.md` where commit conventions and release tagging are discussed separately, risking divergence.",Duplicates,CONFLICT,"Workflow, Releases, CI","Both git-workflow and changesets-guide content are being consolidated into workflow-and-ci.md and releases-and-versioning.md per the migration plan, but their overlapping sections on commit conventions and release tagging still require explicit de-duplication and a single canonical source to prevent divergence."
ISS-0038,working/phase1/summaries/docs/to_integrate/changesets-guide.summary.md,56,CI enforcement that fails PRs touching `app/` or `tools/` without changesets is recommended but not obviously configured in `.github/` workflows.,Testing,CONFLICT,"Workflow, Releases, CI",The migration plan anticipates stronger CI alignment but does not yet define a concrete enforcement that PRs touching app/ or tools/ require changesets; Phase 5 must decide whether and how to add CI or pre-commit checks for changeset presence and document this in workflow-and-ci.md and releases-and-versioning.md.
ISS-0039,working/phase1/summaries/docs/to_integrate/changesets-guide.summary.md,57,"Publishing workflow with `uv build` and `uv publish` is described without detailing how to configure credentials, indexes, or secrets.",Versioning,RESEARCH,CI/CD Automation,"The future releases-and-versioning doc and migration plan reference uv build and uv publish flows, but there is no detailed guidance on configuring registries, credentials, or secrets, so additional research into secure uv publishing practices and typical CI integration patterns is required before documenting or implementing them."
ISS-0040,working/phase1/summaries/docs/to_integrate/changesets-guide.summary.md,58,"No guidance on handling pre-release versions (e.g., `1.0.0-alpha.1`), build metadata (e.g., `1.0.0+build.123`), or version conflicts.",Versioning,RESEARCH,Versioning & Releases,"The planned releases-and-versioning guide will centralize versioning behavior, yet it does not currently define policies for pre-release identifiers, build metadata, or conflict resolution strategies; research into semantic versioning best practices and changesets support for these cases is needed to finalize the versioning model."
ISS-0041,working/phase1/summaries/docs/to_integrate/changesets-guide.summary.md,59,The dependency version drift section refers to context7-based lookup without explaining the actual usage pattern or any local tooling for it.,Gaps,RESEARCH,Versioning & Releases,"Needs clearer, researched explanation of how context7-based dependency version lookup is actually used in this repo and how it integrates with local tooling, releases-and-versioning, and workflow-and-ci."
ISS-0042,working/phase1/summaries/docs/to_integrate/changesets-guide.summary.md,60,"The guide notes the repo is not a monorepo but still hints at multi-package coordination, which could confuse contributors.",Conflicts,CONFLICT,"Workflow, Releases, CI",Changesets guide messaging about non-monorepo status vs. hints of multi-package coordination must be reconciled during consolidation into docs/releases-and-versioning.md so contributor expectations about repo structure are unambiguous.
ISS-0043,working/phase1/summaries/docs/to_integrate/changesets-guide.summary.md,61,"Mentions `uv sync` and other setup commands that may already be described in `README.md`, leading to duplicated setup guidance.",Duplicates,CONFLICT,Migration §2 – docs/to_integrate/changesets-guide.md → docs/releases-and-versioning.md,Setup commands like `uv sync` already live in the root README and development-setup; overlapping guidance in the changesets guide should be deduplicated or trimmed when migrated into the canonical versioning doc.
ISS-0044,working/phase1/summaries/docs/to_integrate/changesets-guide.summary.md,62,"Tagging instructions (e.g., `git tag -a v1.3.0`) may conflict with or duplicate tagging guidance in `docs/to_integrate/git-workflow.md`.",Conflicts,CONFLICT,"Migration §2 – changesets-guide.md and git-workflow.md → docs/releases-and-versioning.md, docs/workflow-and-ci.md","Tagging instructions in the changesets guide and git-workflow need to be unified so there is a single, trunk-based, ADR-0002-aligned tagging story across workflow-and-ci and releases-and-versioning."
ISS-0045,working/phase1/summaries/docs/to_integrate/development-workflow.summary.md,45,"Significant overlap with `README.md` ""Code Quality"" section, which already describes `uv run lint`, formatting, and pre-commit hooks.",Duplicates,CONFLICT,Migration §2 – development-workflow.md → docs/workflow-and-ci.md; README.md refresh,"Development workflow content that reiterates code quality commands (`uv run lint`, formatting, pre-commit) overlaps with the README Code Quality section and must be consolidated into workflow-and-ci with README kept as a shorter entry point."
ISS-0046,working/phase1/summaries/docs/to_integrate/development-workflow.summary.md,46,"Overlap with `docs/to_integrate/git-workflow.md` around the ""run checks before commit"" step; they disagree on whether to exclude E2E tests in the default loop.",Conflicts,CONFLICT,"Phase Theme: Testing & E2E and Workflow, Releases, CI","Development-workflow and git-workflow disagree on whether E2E tests are part of the default local loop; this needs a single, testing-guide- and workflow-and-ci-aligned position on when E2E runs are required."
ISS-0047,working/phase1/summaries/docs/to_integrate/development-workflow.summary.md,47,"References `uv run mcp-setup` without explaining what it does or where it is defined, even though initial setup is described in `README.md`.",Gaps,CONFLICT,Migration §2 – development-workflow.md → docs/workflow-and-ci.md; README.md,Reference to `uv run mcp-setup` must be aligned with the description already in README and clearly documented in workflow-and-ci so contributors know what the script does and when to use it.
ISS-0048,working/phase1/summaries/docs/to_integrate/development-workflow.summary.md,48,Describes pre-commit as lint-only while some sections imply broader automation; this must stay aligned with `.pre-commit-config.yaml`.,Conflicts,CONFLICT,"ADR-0005; Migration §2 – development-workflow.md and linting-guide.md → docs/workflow-and-ci.md, docs/code-style-guide.md",Pre-commit is described as lint-only in some places but implied to run broader automation elsewhere; guidance must be reconciled with the actual `.pre-commit-config.yaml` and Ruff-centric ADR-0005 decisions.
ISS-0049,working/phase1/summaries/docs/to_integrate/development-workflow.summary.md,49,Mandates regenerating OpenAPI on API changes but does not explain how to validate the generated schema or handle generation failures.,OpenAPI,RESOLVED,ADR-0004; README.md OpenAPI section,"ADR-0004 and the updated README already define when and how to run `uv run gen_openapi` and treat `openapi/openapi.json` as canonical, clarifying regeneration responsibilities even if validation/failure-handling details can be refined later."
ISS-0050,working/phase1/summaries/docs/to_integrate/development-workflow.summary.md,50,"Encourages TDD and mirroring `app/` in `tests/` but `docs/TESTING_ARCHITECTURE.md` may already define a more precise structure, risking conflicting advice.",Conflicts,CONFLICT,Migration §2 – development-workflow.md and TEST_* → docs/testing-guide.md,Development-workflow’s generic TDD-and-mirroring advice must be reconciled with the more precise structure and tiers already codified in docs/TESTING_ARCHITECTURE.md and the planned unified docs/testing-guide.md to avoid conflicting testing structure guidance.
ISS-0051,working/phase1/summaries/docs/to_integrate/development-workflow.summary.md,51,"Provides debugging tips but omits common issues like dependency conflicts, environment setup, or Docker-related problems, leaving gaps for new contributors.",Gaps,CONFLICT,"Workflow, Releases, CI","The development-workflow doc’s incomplete debugging guidance is not directly resolved by the migration plan or ADRs; conflict_backlog already tracks this as a Workflow/Releases/CI concern, and future workflow-and-ci/development-setup docs must explicitly fill gaps around dependency, environment, and Docker troubleshooting."
ISS-0052,working/phase1/summaries/docs/to_integrate/development-workflow.summary.md,52,"Does not document how to run specific test markers (unit, integration, component, e2e), despite other docs describing these tiers.",Testing,RESEARCH,Testing Patterns,"How to document and structure pytest markers for unit, integration, component, and e2e tiers is not fixed by ADR-0006 or the migration matrices and is partly called out in the research backlog around marker strategy; it needs deliberate testing-pattern design (including which markers to expose and how developers should run them)."
ISS-0053,working/phase1/summaries/docs/to_integrate/development-workflow.summary.md,53,References AGENTS.md for agent-specific workflow without clarifying how that interacts with the general development loop.,Conflicts,CONFLICT,"Workflow, Releases, CI","Conflict_backlog flags this as a Workflow/Releases/CI issue: development-workflow and AGENTS.md are both being refreshed but the migration plan does not yet define how agent-specific instructions integrate with the general dev loop, so their relationship must be clarified during Phase 5 workflow-and-ci and AGENTS updates."
ISS-0054,working/phase1/summaries/docs/to_integrate/development-workflow.summary.md,54,"Requires documentation updates alongside workflow changes but does not specify which docs (README, TEST docs, workflow docs) to touch, which can lead to inconsistency.",Conflicts,CONFLICT,"Workflow, Releases, CI","Already tracked in conflict_backlog as a Workflow/Releases/CI concern: the migration plan says development-workflow and git-workflow will be merged into docs/workflow-and-ci.md, but it does not yet codify a single rule for which docs (README, testing-guide, workflow-and-ci) must be updated together when workflows change, so this coordination policy needs manual definition."
ISS-0055,working/phase1/summaries/docs/to_integrate/fastapi-best-practices.summary.md,95,"Extensive overlap with `api-patterns-guide.md` on clean architecture, DI, layering, and testing; unmanaged duplication would be hard to maintain.",Duplicates,CONFLICT,Code Standards & Architecture,"Conflict_backlog explicitly notes duplication between fastapi-best-practices and api-patterns-guide on architecture, DI, layering, and testing; the migration plan only states that content will be merged into docs/api.md and docs/code-style-guide.md, so deduplication and clear scoping between these targets remains unresolved Code Standards & Architecture work."
ISS-0056,working/phase1/summaries/docs/to_integrate/fastapi-best-practices.summary.md,96,"Significant overlap with STYLE_6 for layered architecture and SRP/DIP, increasing the risk of conflicting advice.",Duplicates,CONFLICT,Code Standards & Architecture,"Significant overlap between fastapi-best-practices and STYLE_6 on layered architecture, SRP, and DIP is recorded in the conflict_backlog; although both feed into docs/code-style-guide.md and docs/api.md, the plan does not specify how to reconcile them, so this is a Code Standards & Architecture consolidation conflict rather than already resolved."
ISS-0057,working/phase1/summaries/docs/to_integrate/fastapi-best-practices.summary.md,97,"Many recommendations depend on infrastructure (DB, Redis, Celery, JWT/auth stack, observability stack) that does not exist in this repo yet.",Conflicts,CONFLICT,Code Standards & Architecture,"Conflict_backlog calls out that infra-heavy assumptions in fastapi-best-practices (DB, Redis, Celery, JWT/auth, observability) do not match the current repo; the migration plan merges this content into API/style docs without scoping those sections, so future architectural doc work must trim or clearly mark them as aspirational to avoid misrepresenting actual capabilities."
ISS-0058,working/phase1/summaries/docs/to_integrate/fastapi-best-practices.summary.md,98,"Authentication and RBAC sections are advanced and may be premature for current unauthenticated, stub endpoints.",Conflicts,CONFLICT,Code Standards & Architecture,"Authentication and RBAC guidance from fastapi-best-practices is slated to flow into docs/api.md and docs/code-style-guide.md, but ADRs and the migration plan do not decide whether to include, soften, or defer this advanced material for an unauthenticated service; conflict_backlog flags this mismatch as a Code Standards & Architecture decision still needing manual resolution."
ISS-0059,working/phase1/summaries/docs/to_integrate/fastapi-best-practices.summary.md,99,Celery and task queue patterns assume long-running/background work not yet defined in this project.,Conflicts,CONFLICT,Code Standards & Architecture,"Celery/task-queue recommendations in fastapi-best-practices assume background work that this project does not yet have; conflict_backlog notes that no ADR or migration rule addresses them, so when content is merged into docs/api.md and docs/code-style-guide.md someone must explicitly remove, de-emphasize, or future-scope these sections to keep docs aligned with reality."
ISS-0060,working/phase1/summaries/docs/to_integrate/fastapi-best-practices.summary.md,100,"Middleware and gateway optimizations (rate limiting, compression, HTTP/2 tuning) may be unnecessary overhead at current scale.",Conflicts,CONFLICT,Code Standards & Architecture,"Middleware and gateway tuning advice (rate limiting, compression, HTTP/2) from fastapi-best-practices is planned to be merged into API/architecture docs, but conflict_backlog highlights that the migration plan does not define what is appropriate at the project’s current scale; this requires manual curation during Code Standards & Architecture work to avoid prescribing unnecessary overhead."
ISS-0061,working/phase1/summaries/docs/to_integrate/fastapi-best-practices.summary.md,101,"Memory and concurrency deep dives (GIL behavior, pools, zero-copy, tracemalloc) might overwhelm readers at this project’s maturity level.",Gaps,CONFLICT,Code Standards & Architecture,Advanced memory/concurrency deep dives in fastapi-best-practices need to be right-sized or deferred when merging into docs/api.md and docs/code-style-guide.md so guidance matches the broker’s early lifecycle phase and doesn’t overwhelm readers.
ISS-0062,working/phase1/summaries/docs/to_integrate/fastapi-best-practices.summary.md,102,"Uses generic domains (users/items/movies) rather than the MCP metadata domain, so examples require translation.",Conflicts,CONFLICT,Code Standards & Architecture,Generic users/items/movies examples in fastapi-best-practices must be reconciled with the MCP metadata domain during migration to docs/api.md so examples and terminology match the project’s actual contracts.
ISS-0063,working/phase1/summaries/docs/to_integrate/fastapi-best-practices.summary.md,103,"Testing recommendations (pytest + TestClient + fixtures) should be reconciled with existing `docs/TEST.md`, `docs/TESTING_ARCHITECTURE.md`, and `tests/conftest.py`.",Conflicts,CONFLICT,Testing & E2E,"Testing advice in fastapi-best-practices conflicts/overlaps with existing docs/TEST.md, docs/TESTING_ARCHITECTURE.md, and tests/conftest.py and must be unified when everything is consolidated into docs/testing-guide.md per the migration plan."
ISS-0064,working/phase1/summaries/docs/to_integrate/fastapi-best-practices.summary.md,104,"Observability advice assumes external services (Prometheus, OpenTelemetry, Sentry/Honeycomb) not present in this repo, which could mislead implementers.",Staleness,CONFLICT,Code Standards & Architecture,Observability recommendations that assume Prometheus/OpenTelemetry/Sentry/Honeycomb infrastructure are ahead of what this repo provides and must be either clearly scoped as future work or trimmed when merging fastapi-best-practices into the canonical docs.
ISS-0065,working/phase1/summaries/docs/to_integrate/git-workflow.summary.md,41,Overlap with `docs/to_integrate/development-workflow.md` where both describe running `uv run lint` and pytest before committing; they differ on whether to exclude E2E tests by default.,Duplicates,CONFLICT,"Workflow, Releases, CI","git-workflow and development-workflow both describe uv run lint and pytest with differing expectations about E2E-by-default; this duplication must be resolved when they are merged into docs/workflow-and-ci.md so there is a single, consistent pre-commit testing story."
ISS-0066,working/phase1/summaries/docs/to_integrate/git-workflow.summary.md,42,"Overlap with `README.md` ""Code Quality"" section, which also explains pre-commit hooks and `uv run lint`, risking duplicated guidance.",Duplicates,CONFLICT,"Workflow, Releases, CI",git-workflow overlaps with the root README Code Quality section on pre-commit hooks and uv run lint; Phase 5 workflow-and-ci work must dedupe and decide which document owns the authoritative description.
ISS-0067,working/phase1/summaries/docs/to_integrate/git-workflow.summary.md,43,References to an `e2e` pytest marker (`pytest -m e2e`) that may not be configured in `pyproject.toml`.,Testing,RESEARCH,Testing Patterns,The recommended pytest -m e2e marker in git-workflow needs investigation against current pyproject.toml and test layout to decide whether to add/configure the marker or adjust the docs to reflect the actual E2E test strategy.
